LOAD/STORE,SIMD,Frequency (MHz),BW read,BW write,Avr. Write Burst,Avr. Read Burst,Stall Read (%),Stall Write (%),Time (ms),Type of memory,LD units,Width LD,ST Units,Width Units,Latency,BW (MB/S)
1,2,410,0,7603,8,0,"1,97","0,95","55,04",Non-aligned,0,0,1,256,0,"7599,6"
1,4,"406,2",0,11615,5,0,"1,97","7,72","35,61",Non-aligned,0,0,1,512,0,"11763,1"
1,8,"412,5",0,14237,11,0,"1,97","46,07","18,86",Non-aligned,0,0,1,1024,0,"12775,7"
1,16,390,0,14239,15,0,"1,97","42,95","27,71",Non-aligned,0,0,1,2048,0,"12880,1"
2,2,370,4726,"4871,2",8,10,"1,97","4,85","85,84",Non-aligned,1,256,1,256,0,"9263,8"
2,4,"418,8","6031,3","6321,5",6,10,"2,3","6,01","66,2",Non-aligned,1,512,1,512,0,"11737,1"
2,8,"362,5","6750,3","6933,9",11,8,"3,58","3,88","59,48",Non-aligned,1,1024,1,1024,0,"13016,3"
2,16,"337,5","7635,2","6324,8",15,11,"3,43","3,76","62,79",Non-aligned,1,2048,1,2048,0,"13412,3"
3,2,"334,4","2955,5","2937,7",8,7,"4,48","3,23","142,29",Non-aligned,2,256,1,256,240,8558
3,4,"358,3","3255,5","3088,4",6,6,"5,88","4,36","135,33",Non-aligned,2,512,1,512,240,9216
3,8,"386,69","3511,8","3100,4",11,8,"5,3","3,1","132,2",Non-aligned,2,1024,1,1024,240,9792
3,16,"347,5","3729,4","3008,9",15,11,"3,66","1,7","130,92",Non-aligned,2,2048,1,2048,240,"10156,4"
4,2,"347,5","1494,6","1171,2",8,3,"9,24","1,24","356,73",Non-aligned,3,256,1,256,323,5576
4,4,390,"1988,7","1824,5",6,5,"5,86","2,57","229,05",Non-aligned,3,512,1,512,323,"7523,3"
4,8,385,"2292,9","1993,4",13,8,"5,85","1,87","205,55",Non-aligned,3,1024,1,1024,323,"8600,5"
4,16,"358,3","2615,3","2109,2",15,11,"5,53","1,15","186,53",Non-aligned,3,2048,1,2048,323,"9703,2"
5,2,"368,8","984,9","557,2",8,2,"18,25","0,56","749,91",Non-aligned,4,256,1,256,281,"4455,4"
5,4,400,1394,"1272,5",6,6,"8,17","1,76","328,43",Non-aligned,4,512,1,512,281,"6696,1"
5,8,"345,8","1797,6",1576,12,8,"8,17","1,68","259,88",Non-aligned,4,1024,1,1024,281,"8552,3"
5,16,345,"2125,8",1722,15,11,"6,86","0,98","228,44",Non-aligned,4,2048,1,2048,281,"10006,1"
6,2,"342,5","725,8","425,1",8,2,"13,99","0,46","982,91",Non-aligned,5,256,1,256,295,"4017,8"
6,4,"301,56","1102,8","1006,8",6,6,"10,76","1,85","415,07",Non-aligned,5,512,1,512,295,"6436,6"
6,8,"340,6","1471,9","1292,6",12,8,"8,77","1,4","316,99",Non-aligned,5,1024,1,1024,295,"8485,2"
6,16,"337,5",17780,"1446,7",15,11,"7,03","0,84","271,9",Non-aligned,5,2048,1,2048,295,"10153,2"
