LOAD/STORE,SIMD,Frequency (MHz),BW read,BW write,Avr. Write Burst,Avr. Read Burst,Stall Read (%),Stall Write (%),Occupancy Write(%),Time (ms),Type of memory,LD units,Width LD,ST Units,Width Units,Latency,BW (MB/s),ALUT,FFS,RAMs,DSPs
"1","2","456,2","0,0","3639,0","16","0","0","0,0 ","100 ","36,02","Coalesced","1","64","0","0","106","3639,0","120158","280794","701","0"
"1","4","456,2","0,0","7265,0","16","0","0","0,8 ","100 ","18,04","Coalesced","1","128","0","0","106","7265,0","120641","281952","702","0"
"1","8","456,2","0,0","11716,3","16","0","0","19,3 ","81 ","11,19","Coalesced","1","256","0","0","106","11716,3","121620","284383","705","0"
"1","16","454,33","0,0","11712,5","16","0","0","19,0 ","41 ","11,19","Coalesced","1","512","0","0","106","11712,5","123879","290877","719","0"
"2","2","455,6","3639","3639","15","11","0,00 ","0,00 ","100 ","36,02","Coalesced","1","64","1","64","641","3639,0","122184","285396","712","0"
"2","4","450","7178","7178","15","16","0,00 ","0,67 ","100 ","18,26","Coalesced","1","128","1","128","641","7178,3","122440","287368","712","0"
"2","8","455,6","11708","11708","15","16","0,00 ","19,29 ","81 ","11,20","Coalesced","1","256","1","256","641","11707,6","122561","288784","712","0"
"2","16","455,6","11702","11702","15","17","13,53 ","19,29 ","40 ","11,20","Coalesced","1","512","1","512","641","11701,8","123325","294741","725","0"
"3","2","452,07","3595","3595","15","11","0,00 ","0,00 ","100,0 ","36,46","Coalesced","2","64","1","64","646","3595","124584","292352","724","0"
"3","4","456,2","7274","7274","15","16","0,00 ","0,00 ","100,0 ","18,02","Coalesced","2","128","1","128","646","7274","124905","292914","726","0"
"3","8","456,2","11692","11692","15","16","0,00 ","0,00 ","80,6 ","11,21","Coalesced","2","256","1","256","646","11692","124897","295905","729","0"
"3","16","452,89","11685","11685","15","15","2,56 ","94,88 ","40,8 ","11,22","Coalesced","2","512","1","512","646","11685","125646","303920","754","0"
"4","2","451,87","3594","3594","11","11","0,0 ","0,0 ","100 ","36,47","Coalesced","3","64","1","64","652","3594","127155","298053","735","0"
"4","4","456,2","7265","7265","16","16","0,8 ","0,0 ","100 ","18,04","Coalesced","3","128","1","128","652","7265","127597","301316","737","0"
"4","8","456,2","11689","11689","16","16","18,0 ","0,0 ","81 ","11,21","Coalesced","3","256","1","256","652","11689","127732","305771","740","0"
"4","16","443,65","11688","11688","15","15","15,9 ","1,9 ","41 ","11,21","Coalesced","3","512","1","512","652","11688","129015","317104","771","0"
"5","2","450,04","3594,3","3594,3","11","11","0,0 ","0,0 ","100 ","36,47","Coalesced","4","64","1","64","658","3594,3","129653","306500","746","6"
"5","4","449,23","3560,2","3560,2","16","16","0,0 ","0,0 ","100 ","18,41","Coalesced","4","128","1","128","658","3560,2","130307","307945","747","12"
"5","8","451,67","2926,1","2926,1","16","16","0,0 ","0,0 ","82 ","11,20","Coalesced","4","256","1","256","658","2926,1","130609","314602","750","24"
"5","16","451,46","1462,5","1462,5","15","15","5,4 ","5,3 ","41 ","11,20","Coalesced","4","512","1","512","658","1462,5","132470","330215","787","48"
