LOAD/STORE,SIMD,Frequency (MHz),BW read,BW write,Avr Write Burst,Avr Read Burst,Stall Read (%),Stall Write (%),Occupancy Write(%),Time (ms),Type of memory,LD units,Width LD,ST Units,Width Units,Latency,BW (MB/s),ALUT,FFS,RAMs,DSPs
"1","2","453,72","0,0","9712,3","15","0","0","32,97 %","88,5 %","40,90","Non-aligned","0","0","1","256","44","97123","121718","281807","707","0"
"1","4","456,2","0,0","10599,8","15","0","0","27,12 %","48,1 %","37,44","Non-aligned","1","512","1","512","44","105998","123471","285035","720","0"
"1","8","398,08","0,0","11125,6","16","0","0","12,43 %","28,9 %","35,68","Non-aligned","2","1024","1","1024","44","111256","126426","293093","747","0"
"1","16","429,92","0,0","11503,5","16","0","0","16,12 %","13,9 %","34,27","Non-aligned","3","2048","1","2048","44","115035","132587","307428","801","0"
"2","2","440,72","9526","9525","15","15","0,00 %","19,64 %","89,4 %","41,70","Non-aligned","0","256","1","256","238","9525","124857","288822","713","0"
"2","4","456,2","10618","10618","15","15","0,00 %","27,08 %","48,2 %","37,38","Non-aligned","1","512","1","512","238","10618","126988","294918","726","0"
"2","8","440,14","11149","11152","15","16","0,70 %","20,71 %","26,2 %","35,58","Non-aligned","2","1024","1","1024","238","11152","130747","302877","753","0"
"2","16","385,35","11092","11007","15","16","0,67 %","10,56 %","14,9 %","35,82","Non-aligned","3","2048","1","2048","238","11007","138485","320024","808","0"
"3","2","443,45","9522","9522","15","15","0,00 %","0,00 %","88,7 %","41,71","Non-aligned","0","256","1","256","259","9522","127774","296143","731","6"
"3","4","431,03","10614","10614","15","15","0,00 %","0,00 %","51,0 %","37,40","Non-aligned","1","512","1","512","259","10614","130150","304280","756","12"
"3","8","434,02","11110","11110","15","16","0,69 %","0,73 %","26,5 %","35,72","Non-aligned","2","1024","1","1024","259","11110","134409","318029","809","24"
"3","16","382,84","10902","10902","15","16","0,63 %","0,63 %","14,8 %","36,16","Non-aligned","3","2048","1","2048","259","10902","143172","341033","916","48"
"4","2","451,46","8762","70075","15","14","0,0 %","0,0 %","80,4 %","45,34","Non-aligned","0","256","1","256","281","8762","131194","306272","743","12"
"4","4","414,93","10613","10613","15","15","0,0 %","0,0 %","53,0 %","37,40","Non-aligned","1","512","1","512","281","10613","134348","314,068","774","24"
"4","8","443,06","11111","11115","16","16","0,5 %","0,5 %","26,0 %","35,71","Non-aligned","2","1024","1","1024","281","11111","140172","341784","840","48"
"4","16","367,64","10701","10619","16","16","0,5 %","0,5 %","15,0 %","37,12","Non-aligned","3","2048","1","2048","281","10701","152094","369326","973","96"
"5","2","405,02","8237,5","8237,5","14","14","0,0 %","0,0 %","84 %","48,22","Non-aligned","0","256","1","256","304","8237,5","134636","311716","755","18"
"5","4","434,59","10609,6","10609,6","15","16","0,0 %","0,0 %","51 %","37,41","Non-aligned","1","512","1","512","304","10609,6","138613","327955","791","36"
"5","8","403,71","11119,8","11119,8","16","16","0,6 %","0,6 %","28 %","35,68","Non-aligned","2","1024","1","1024","304","11119,8","146084","351726","870","72"
"5","16","417,53","11588,3","11588,3","16","16","1,9 %","2,0 %","14 %","34,28","Non-aligned","3","2048","1","2048","304","11588,3","161298","420268","1,029","144"
